COD_ART;DESCRIPCION;EAN13
80-201BV;DUCHA EMB C/TRANSF C.CERAM BEAT ANTIQUE BRONZE;7798115113038
80-353NI;DUCHA DE EMB 3 FUNCIONES BEAT NICKEL;7798115113045
85-201NI;DUCHA EMB C/TRANSF Y DUCHADOR C.CERAM BEAT NICKEL;7798115113052
85-201BV;DUCHA EMB C/TRANSF Y DUCHADOR C.CERAM BEAT ANTIQUE BRONZE;7798115113069
62-201NI;LAVATORIO DE PARED C.CERAM BEAT NICKEL;7798115113076
62-201BV;LAVATORIO DE PARED C.CERAM BEAT ANTIQUE BRONZE;7798115113083
60-045;LAVATORIO CR/CR C.STD CRUZ;7798115114462
70-045;BIDE CROMO C.STD CRUZ;7798115114479
80-045;DUCHA EMB.C/TRANSF CR  C.STD CRUZ;7798115114486
80-203P;DUCHA EMB C/TRANSF. MONOCOMANDO ADRA PLUS;7798115114493
90-045;PACK GRIF LAV-BID-DUCHA C/TRANSF CRUZ;7798115114622
LG01C20;MONOCOMANDO COCINA CR LUCERNA;7798115114691
LG01C60;LAVATORIO MONOC CR LUCERNA;7798115114721
LG02C60;LAVATORIO MONOC CR GINEBRA;7798115114738
LG02N60;LAVATORIO MONOC BLACK GINEBRA;7798115114745
LG02C61;LAVATORIO MONOC ALTO CROMO GINEBRA;7798115114752
LG02N61;LAVATORIO MONOC ALTO BLACK GINEBRA;7798115114769
51-061;COCINA MESADA CR C.STD PUEBLA;7798115114776
51-061B;COCINA MESADA BL/CR C.STD PUEBLA;7798115114783
51-061N;COCINA MESADA NG/CR C.STD PUEBLA;7798115114790
LG04C60;LAVATORIO CR C.CERAM DAVOS;7798115115223
LG04C70;BIDE CR C.CERAM DAVOS;7798115115230
LG04C80;DUCHA EMB. C/TRANSF. CR C.CERAM DAVOS;7798115115247
LG03C60;LAVATORIO CR C.STD  BERNA;7798115115254
LG03C70;BIDE CR C.STD BERNA;7798115115261
LG03C80;DUCHA EMB. C/TRANSF. CR C.STD BERNA;7798115115278
LG03N60;LAVATORIO BLACK C.STD BERNA;7798115115292
LG03N70;BIDE BLACK C.STD BERNA;7798115115308
LG03N80;DUCHA C/TRANSF BLACK C.STD BERNA;7798115115315
80-168;DUCHA EMB C/TRANSF MONOC CR WAVE;7798115115384
80-168N;DUCHA EMB C/TRANSF MONOC BLACK WAVE;7798115115391
60-148; LAVATORIO CR C.CERAM LOFT;7798115116053
70-148; BIDE CR C.CERAM LOFT;7798115116060
80-148;DUCHA EMB. C/TRANSF. CR C.CERAM LOFT;7798115116077
80-148P;DUCHA EMB. C/TRANSF. CR C.CERAM LOFT DUCHON CUADRADO;7798115116084
62-148;LAVATORIO DE PARED CR C.CERAM LOFT;7798115116091
90-148P;PACK GRIF LAV-BI-DU C/TRANSF LOFT PLUS;7798115116107
60-162N;LAVATORIO BLACK C.CERAM LINEA ADRA;7798115116114
62-162N;LAVATORIO DE PARED BLACK C.CERAM ADRA;7798115116145
70-162N;BIDE BLACK C.CERAM LINEA ADRA;7798115116152
80-166N;DUCHA EMB. C/TRANSF. BLACK C.CERAM ADRA PLUS;7798115116169
60-149;LAVATORIO CR C.CERAM SAND;7798115116268
70-149;BIDE CR C.CERAM SAND;7798115116275
80-149;DUCHA EMB. C/TRANSF. CR C.CERAM SAND;7798115116282
85-168;DUCHA MONOC C/TRANSF Y DUCHADOR CR WAVE;7798115116329
85-168N;DUCHA MONOC C/TRANSF Y DUCHADOR BLACK WAVE;7798115116336
60-175;LAVATORIO CR. C.CERAM PULSE;7798115116572
60-175DG;LAVATORIO PULSE DARK GOLD C.CERAM;7798115116589
60-175GR;LAVATORIO PULSE GRAFITO C.CERAM;7798115116596
62-175;LAVATORIO DE PARED CR C.CERAM PULSE;7798115116602
62-175DG;LAVATORIO DE PARED PULSE DARK GOLD C.CERAM;7798115116619
62-175GR;LAVATORIO DE PARED PULSE GRAFITO C.CERAM;7798115116626
70-175;BIDE CR. C.CERAM PULSE;7798115116633
70-175DG;BIDE PULSE DARK GOLD C.CERAM;7798115116640
70-175GR;BIDE PULSE GRAFITO C.CERAM;7798115116657
80-175;DUCHA EMB C/TRANSF. CR C.CERAM PULSE;7798115116664
80-175DG;DUCHA EMB C/TRANSF. PULSE DARK GOLD C.CERAM;7798115116671
80-175GR;DUCHA EMB C/TRANSF. PULSE GRAFITO C.CERAM;7798115116688
22-178;MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA BRUSHED;7798115117135
22-178N;MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA BLACK;7798115117142
80-203PL;DUCHA EMB C/TRANSF. MONOCOMANDO ADRA DUCHA CUADRADA;7798115117258
90-166N;PACK GRIF. ADRA BLACK PLUS  (Lav-Bide-Ducha c/t Plus);7798115117364
20-182;MONOCOMANDO DE COCINA MULTIFUNCION CR ZENITH;7798115117395
60-203N;LAVATORIO MONOCOMANDO BAJO ADRA BLACK;7798115117463
61-203N;LAVATORIO MONOCOMANDO ALTO ADRA BLACK;7798115117470
53-057;COCINA PARED EXT. P.ALTO VERIN PLUS;7798115117739
84-203;DUCHA EXT C/COLUMNA Y TRANSF CR ADRA;7798115118200
84-203ST;DUCHA EXT C/COLUMNA CR ADRA;7798115118217
84-280;DUCHA EXT. C/COLUMNA Y TRANSF CR VERA;7798115118224
60-175G;LAVATORIO GOLD C.CERAM PULSE;7798115118330
62-175G;LAVATORIO DE PARED GOLD C.CERAM PULSE;7798115118347
70-175G; BIDE GOLD C.CERAM PULSE;7798115118354
80-175G;DUCHA EMB C/TRANSF. GOLD C.CERAM PULSE;7798115118361
81-100C;DUCHA EMB S/TRANSF CR C.CERAM FABRIC;7798115119269
81-100G;DUCHA EMB S/TRANSF GOLD C.CERAM FABRIC;7798115119276
81-201NI;DUCHA EMB S/TRANSF C.CERAM NICKEL BEAT;7798115119283
60-120;LAVATORIO CR C.CERAM OVIEDO;7798160580168
70-120;BIDE CR C.CERAM OVIEDO;7798160580175
80-120;DUCHA EMB. C/TRANSF. CR C.CERAM OVIEDO;7798160580182
60-013;LAVATORIO CR SEVILLA;7798160580601
70-013;BIDE CR SEVILLA;7798160580618
80-013;DUCHA EMB. C/TRANSF. CR SEVILLA;7798160580625
90-013;PACK GRIF.CR SEVILLA (Lavatorio-Bide-Ducha c/t);7798160580656
60-121;LAVATORIO C.CERAM CR MARBELLA;7798160580663
70-121;BIDE C.CERAM CR MARBELLA;7798160580670
80-121;DUCHA EMB. C/TRANSF. CR C.C. MARBELLA;7798160580687
83-121;DUCHA EXT. C/TRANSF. CR C.CERAM MARBELLA;7798160580694
62-121;LAVATORIO PARED CR C. CERAM  MARBELLA;7798160580700
20-121;COCINA MSDA MONOC.P. REDONDO MARBELLA;7798160580717
30-121;COCINA MSDA MONOC.P. CUADRADO MARBELLA;7798160580724
60-122;LAVATORIO C.CERAM CR VALENCIA;7798160580731
70-122;BIDE C.CERAM CR VALENCIA;7798160580748
80-122;DUCHA EMB.C/TRANSF. C.CERAM CR VALENCIA;7798160580755
83-122;DUCHA EXT. C/TRANSF. C.CERAM CR VALENCIA;7798160580762
62-122;LAVATORIO PARED C.CERAM CR VALENCIA;7798160580786
51-023;COCINA MESADA BL/CR ARES PLUS;7798160580908
53-023;COCINA PARED EXT. P.ALTO BL/CR ARES PLUS;7798160580915
55-023;COCINA PARED EMB. P.ALTO BL/CR ARES PLUS;7798160580939
60-023;LAVATORIO BL/CR ARES PLUS;7798160580946
70-023;BIDE BL/CR ARES PLUS;7798160580953
80-023;DUCHA EMB. C/TRANSF. BL/CR ARES PLUS;7798160580960
81-023;DUCHA EMB. S/TRANSF. BL/CR ARES PLUS;7798160580977
51-024;MESADA P.CAÑO CR SEVILLA PLUS;7798160581127
60-025;LAVATORIO BLANCO BASICA PLUS;7798160581134
70-025;BIDE BLANCO BASICA PLUS;7798160581141
80-025;DUCHA EMB.C/TRANSF.BL BASICA PLUS;7798160581158
90-025;PACK GRIF BL BASICA PLUS (Lavatorio-Bide-Ducha c/t;7798160581165
60-026;LAVATORIO CROMO MURCIA PLUS;7798160581189
70-026;BIDE CROMO MURCIA PLUS;7798160581196
80-026;DUCHA EMB.C/TRANSF. CR MURCIA PLUS;7798160581202
50-026;JGO.MDA.P.FUNDIDO MURCIA PLUS;7798160581219
58-026;JGO. PARED EXT. CR MURCIA PLUS;7798160581226
50-123;MESADA P.FUNDIDO CR C.CERAM ARES PLUS;7798160581318
58-123;JGO. PARED EXT.CR P.FUNDIDO C.CERAM ARES PLUS;7798160581325
60-130;LAVATORIO MONOCOMANDO BAJO BILBAO;7798160581578
61-130;LAVATORIO MONOCOMANDO ALTO BILBAO;7798160581585
60-131;LAVATORIO C.CERAM CR MALLORCA;7798160581837
70-131;BIDE C.CERAM CR MALLORCA;7798160581844
80-131;DUCHA EMB. C/TRANSF. CR C.CERAM MALLORCA;7798160581851
62-131;LAVATORIO PARED CR C.CERAM MALLORCA;7798160581868
60-001N;"LAVATORIO ""CROMO Y""";7798160581875
80-001N;"DUCHA EMB. C/TRANSF. ""CROMO Y""";7798160581882
70-001N;"BIDE ""CROMO Y""";7798160581899
81-001N;"DUCHA EMB. S/TRANSF. ""CROMO Y""";7798160581905
82-001N;"DUCHA EXT. S/TRANSF. ""CROMO Y""";7798160581912
83-001N;"DUCHA EXT. C/TRANSF. ""CROMO Y""";7798160581929
40-001N;"COCINA PARED EMBUTIR P/LAVARROPA ""CROMO Y""";7798160581936
51-001N;"COCINA MESADA ""CROMO Y""";7798160581943
53-001N;"COCINA PARED EXTERIOR PICO ALTO ""CROMO Y""";7798160581950
56-001N;"COCINA PARED EMBUTIR PICO BAJO ""CROMO Y""";7798160581981
31-001N;"CANILLA DE PARED P.ALTO ""CROMO Y""";7798160581998
32-001N;"CANILLA DE PARED P.BAJO ""CROMO Y""";7798160582001
33-001N;"CANILLA MESADA ""CROMO Y""";7798160582018
60-107N;LAVATORIO CR C.CERAM BEDIA;7798160582032
20-131;MONOCOMANDO COCINA MALLORCA;7798160582049
60-132;LAVATORIO CR C.CERAM VIGO;7798160582056
62-132;LAVATORIO PARED CR C.CERAM VIGO;7798160582063
70-132;BIDE CR C.CERAM VIGO;7798160582070
80-132;DUCHA EMB. C/TRANSF.CR C.CERAM VIGO;7798160582087
60-034;LAVATORIO CR BETIS;7798160582940
70-034;BIDE CR BETIS;7798160582957
80-034;DUCHA EMB. C/TRANSF. CR BETIS;7798160582964
83-034;DUCHA EXT. C/TRANSF. CR BETIS;7798160582988
81-122;DUCHA EMB.S/TRANSF. C.CERAM CR VALENCIA;7798160582995
54-130;MONOCOMANDO COCINA PARED EXT BILBAO;7798160583039
60-140;LAVATORIO CR C.CERAM IGUAZU;7798160583060
20-160;MONOCOMANDO MESADA COCINA DIQUE;7798160583107
60-150;LAVATORIO CR C.CERAM TOLEDO;7798160583145
70-150;BIDE CR C.CERAM TOLEDO;7798160583152
80-150;DUCHA EMB. C/TRANSF. CR C.CERAM TOLEDO;7798160583169
62-150;LAVATORIO PARED CR C.CERAM TOLEDO;7798160583176
60-042;LAVATORIO DIQUE GM;7798160583183
70-042;BIDE DIQUE GM;7798160583190
80-042;DUCHA EMB. C/TRANSF. DIQUE GM;7798160583206
60-151;LAVATORIO CR C.CERAM CROWN;7798160583213
70-151;BIDE CR C.CERAM CROWN;7798160583220
80-151;DUCHA EMB. C/TRANSF. CR C.CERAM CROWN;7798160583237
60-035;LAVATORIO CIERRE STD SANTANDER;7798160583640
80-134;DUCHA EMB. C/TRANSF. CR C.CERAM BETIS;7798160583756
